,price,location,baths,bedrooms,Total_Area
159241,16500000,Bani Gala,0,0,2722.51
159242,6000000,Bani Gala,0,0,1633.506
159243,5800000,Bani Gala,0,0,1633.506
159244,5500000,Bani Gala,0,0,1633.506
159245,6200000,Bani Gala,0,0,1633.506
159246,50000000,Bani Gala,0,0,5445.0
159247,50500000,Bani Gala,0,0,5445.0
159248,51000000,Bani Gala,0,0,5445.0
159249,49800000,Bani Gala,0,0,5445.0
159250,49500000,Bani Gala,0,0,5445.0
159251,49300000,Bani Gala,0,0,5445.0
159252,5500000,other,3,3,1905.757
159254,8000000,other,4,4,1361.255
159255,3450000,DHA Defence,2,2,1361.255
159256,16600000,D-12,4,4,11979.043999999998
159257,15600000,G-13,5,4,11979.043999999998
159523,16200000,G-13,5,5,11979.043999999998
159525,5500000,other,3,3,2722.51
159526,75000000,Bani Gala,7,4,27225.0
159527,12500000,Soan Garden,4,4,1633.506
159528,70000000,Bani Gala,0,0,114345.0
159529,25500000,G-13,6,5,2178.008
159530,39000000,I-8,3,3,33759.124
159531,7000000,Bani Gala,0,0,1361.255
159532,7000000,Bani Gala,0,0,1361.255
159533,4500000,Bani Gala,0,0,1361.255
159534,4800000,Bani Gala,0,0,1361.255
159535,4300000,Bani Gala,0,0,1361.255
159536,4700000,Bani Gala,0,0,1361.255
159537,8000000,Bani Gala,0,0,1361.255
159538,8300000,Bani Gala,0,0,1361.255
159539,8500000,Bani Gala,0,0,1361.255
159540,7800000,Bani Gala,0,0,1361.255
159541,10800000,Bani Gala,0,0,2722.51
159542,10500000,Bani Gala,0,0,2722.51
159543,15000000,D-17,5,5,2178.008
159544,16000000,D-17,5,5,1905.757
159712,17500000,D-17,5,5,1905.757
159713,13500000,D-17,4,4,1633.506
159714,11500000,D-17,4,4,1633.506
159715,30000000,D-17,6,6,5445.0
159718,16500000,D-17,5,5,2178.008
159719,31000000,G-13,5,6,2178.008
159720,4000000,I-14,0,2,1361.255
159721,250000,G-14,14,10,81675.0
159722,16000000,PWD Housing Scheme,4,4,2722.51
159723,62500000,I-8,0,6,38659.642
159724,55000000,I-8,0,7,33759.124
159725,65000000,I-8,0,9,38659.642
159726,65000000,I-8,0,6,38659.642
159727,57500000,I-8,0,6,38659.642
159728,52500000,I-8,0,6,38659.642
159729,45000000,I-8,0,6,33759.124
159730,55000000,I-8,0,6,38659.642
159731,65000000,I-8,0,6,38659.642
159732,56000000,I-8,0,6,38659.642
159733,40000000,I-8,0,3,38659.642
159734,55000000,I-8,0,6,33759.124
159735,40000000,I-8,0,6,33759.124
159736,55000000,I-8,0,6,33759.124
159737,60000000,I-8,0,6,38659.642
159738,48000000,I-8,0,9,33759.124
159739,62500000,I-8,0,10,38659.642
159740,60000000,I-8,0,9,33759.124
159741,75000000,I-8,0,10,38659.642
159742,62500000,I-8,0,9,38659.642
159743,55000000,I-8,0,9,38659.642
159744,60000000,I-8,0,9,33759.124
159745,55000000,I-8,0,6,38659.642
159746,60000000,I-8,0,6,33759.124
159747,70000000,I-8,0,9,38659.642
159748,52500000,I-8,0,10,38659.642
159749,65000000,I-8,0,6,5445.0
159750,50000000,I-8,0,6,38659.642
159751,67500000,I-8,0,6,38659.642
159752,50000000,I-8,0,6,33759.124
159753,77500000,G-11,0,0,5445.0
159979,5200000,other,0,0,1905.757
